"code","phase","name","default_offset_days","default_duration_days","default_team","default_inspector","materials_needed","proposer_role","orderer_role","receiver_role","qc_checklist","is_milestone","display_order","template_category"
"1.01","P1_CHUAN_BI","Kick-off với chủ nhà, bàn giao mặt bằng, chốt bản vẽ cuối","0","1","GĐ + Chủ nhà","GĐ","Biên bản bàn giao mặt bằng, bản vẽ in giấy A3","GĐ","GĐ","GĐ","• Có đủ bản vẽ kiến trúc + kết cấu + ME
• Có giấy phép xây dựng
• Ký biên bản kick-off","false","1","nha_pho_1t1l"
"1.02","P1_CHUAN_BI","Khảo sát đo đạc hiện trạng, cắm mốc cao độ chuẩn","1","1","KS","KS","Máy thủy bình, thước thép, sơn đánh dấu","KS","KS","KS","• Đo lại kích thước đất so với bản vẽ
• Cắm 2 mốc cao độ ±0.00 ở vị trí dễ nhìn
• Chụp ảnh 360° hiện trạng","false","2","nha_pho_1t1l"
"1.03","P1_CHUAN_BI","Lắp rào tôn kín công trường + biển công trình","1","2","Đội nề","KS","Tôn B40 + khung sắt + biển nhựa in bạt","KS","GĐ","KS","• Rào kín toàn công trường (không hở)
• Biển công trình ghi tên CTy, SĐT, giấy phép XD
• Không cản trở lối đi công cộng","false","3","nha_pho_1t1l"
"1.04","P1_CHUAN_BI","Lắp điện - nước công trường + WC di động","2","2","Đội điện nước","KS","Đồng hồ điện tạm, dây điện 3 pha, ống nước mềm, WC di động (thuê)","KS","GĐ","KS","• Đồng hồ điện công trường riêng (xin được từ điện lực)
• Có CB chống giật
• WC di động ký HĐ thuê theo tháng","false","4","nha_pho_1t1l"
"1.05","P1_CHUAN_BI","Ép cọc BTCT (nếu có trong HĐ)","4","3","NCC ép cọc + KS","KS + Chủ nhà","Cọc BTCT theo bản vẽ, biên bản ép cọc đối chứng","KS","GĐ","KS","• Đúng số lượng, đúng đường kính
• Tải ép đạt ≥ 1.5 × tải thiết kế
• Có biên bản ép cọc đối chứng lưu hồ sơ","false","5","nha_pho_1t1l"
"2.01","P2_MONG","Đào đất hố móng","7","2","Đội nề","KS","Thuê máy đào mini (nếu cần) + nhân công","KS","GĐ","KS","• Đào đúng độ sâu theo bản vẽ
• Không làm sập mép đất (chống sạt)
• Đất thải đổ đúng nơi quy định","false","6","nha_pho_1t1l"
"2.02","P2_MONG","Đổ bê tông lót móng (M100, dày 100mm)","9","1","Đội nề","KS","Xi măng, cát, đá 1×2 (trộn tại chỗ M100)","KS","GĐ","KS","• Đáy móng đầm chặt, phẳng, không nước
• Lớp lót dày đủ 100mm
• Chờ ≥ 24h mới thi công lớp trên","false","7","nha_pho_1t1l"
"2.03","P2_MONG","Đan thép đáy móng + đà kiềng","10","3","Đội nề (thợ sắt)","KS","Thép D12/D16/D22 theo bản vẽ, dây buộc, viên kê","KS","GĐ","KS","• Đúng đường kính thép theo bản vẽ
• Khoảng cách thép đai đúng (thường 150-200)
• Có viên kê BT 50mm đáy, 30mm cạnh
• Mối buộc chắc 100% nút giao","false","8","nha_pho_1t1l"
"2.04","P2_MONG","Lắp cốp pha thành móng + đà kiềng","13","2","Đội nề","KS","Cốp pha tôn/gỗ phủ phim, đinh, dây thép","KS","GĐ","KS","• Cốp pha kín, không hở
• Vuông góc, không phình khi đổ
• Có chống xiên đủ","false","9","nha_pho_1t1l"
"2.05","P2_MONG","Đi ống điện/nước xuyên móng (nếu có)","14","1","Đội điện nước","KS","Ống PVC chờ, dây thép cố định","KS","GĐ","KS","• Đúng vị trí theo bản vẽ ME
• Bịt 2 đầu ống tránh BT lọt vào
• Cố định chắc tránh xô lệch","false","10","nha_pho_1t1l"
